# Logfile created on 2026-03-16 15:56:12 +0000 by logger.rb/v1.6.0
2026-03-16 15:56:12 +0000: Memory Usage (433116K) : intbondmet_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (433116K) : devbondvia_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (433116K) : devbondmet_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (433116K) : devtrench_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (433116K) : redist_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (433116K) : graphbot_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (433116K) : graphtop_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (433116K) : antvia1_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (433116K) : antmetal2_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (433116K) : graphcont_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (433116K) : siwg_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (433116K) : siwg_filler has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (433116K) : siwg_nofill has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (433116K) : sigrating_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (433116K) : singrating_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (433116K) : graphpas_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (433116K) : emwind3_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (433116K) : emwihv3_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (433116K) : redbulay_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (433116K) : smos_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (433116K) : graphpad_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (433116K) : polimide_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (433116K) : polimide_pin has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (433116K) : recog_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (433116K) : recog_pin has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (433116K) : recog_esd has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (433116K) : recog_diode has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (433116K) : recog_tsv has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (433116K) : recog_iprobe has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (433116K) : recog_diffprb has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (433116K) : recog_pillar has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (433116K) : recog_sbump has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (433116K) : recog_otp has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (433116K) : recog_pdiode has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (433116K) : recog_mom has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (433116K) : recog_pcm has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (433116K) : colopen_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (433116K) : graphmetal1_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (433116K) : graphmetal1_filler has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (433116K) : graphmetal1_nofill has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (433116K) : graphmetal1_slit has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (433116K) : graphmetal1_opc has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (433116K) : graphmet1l_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (433116K) : graphmet1l_filler has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (433116K) : graphmet1l_nofill has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (433116K) : graphmet1l_slit has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (433116K) : graphmet1l_opc has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (433116K) : extblock_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (433116K) : nldd_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (433116K) : pldd_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (433116K) : next_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (433116K) : pext_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (433116K) : nexthv_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (433116K) : pexthv_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (433116K) : graphgate_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (433116K) : sinwg_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (433116K) : sinwg_filler has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (433116K) : sinwg_nofill has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (433376K) : mempad_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (433376K) : topvia1_drw has 29 polygons
2026-03-16 15:56:12 +0000: Memory Usage (433376K) : topmetal1_drw has 41 polygons
2026-03-16 15:56:12 +0000: Memory Usage (433376K) : topmetal1_pin has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (433640K) : topmetal1_mask has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (433640K) : topmetal1_filler has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (433640K) : topmetal1_nofill has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (433640K) : topmetal1_slit has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (433640K) : topmetal1_text has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (433904K) : topmetal1_noqrc has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (433904K) : topmetal1_res has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (433904K) : topmetal1_iprobe has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (433904K) : topmetal1_diffprb has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (434168K) : inldpwl_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (434168K) : polyres_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (434168K) : polyres_pin has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (434168K) : vmim_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (434432K) : nbulaycut_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (434432K) : antmetal1_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (434432K) : topvia2_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (434432K) : topmetal2_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (434696K) : topmetal2_pin has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (434696K) : topmetal2_mask has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (434696K) : topmetal2_filler has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (434696K) : topmetal2_nofill has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (434960K) : topmetal2_slit has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (434960K) : topmetal2_text has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (434960K) : topmetal2_noqrc has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (434960K) : topmetal2_res has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (435224K) : topmetal2_iprobe has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (435224K) : topmetal2_diffprb has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (435224K) : snsring_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (435224K) : sensor_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (435488K) : snsarms_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (435488K) : snscmosvia_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (435488K) : colwind_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (435488K) : flm_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (435752K) : hafniumox_drw has 0 polygons
